timestamp_real, timestamp_est, real_x, real_y, real_theta, est_x, est_y, est_theta, cov_x, cov_y, cov_theta
1751058930.330,1751058930.329,-1.687,2.001,0.033,-27.907,11.331,-2.513,86.831,24.559,5.563
1751058930.425,1751058930.461,-1.645,2.006,0.223,-27.899,11.207,-2.238,89.112,21.667,5.080
1751058930.526,1751058930.590,-1.598,2.021,0.443,-27.909,11.150,-2.021,94.831,20.211,4.676
1751058930.722,1751058930.721,-1.516,2.079,0.800,-27.918,11.034,-1.841,91.160,18.756,4.304
1751058930.913,1751058930.983,-1.456,2.158,1.067,-27.915,11.036,-1.549,96.683,18.199,4.065
1751058931.206,1751058931.239,-1.404,2.298,1.345,-27.887,10.873,-1.356,100.025,17.749,3.724
1751058931.726,1751058931.759,-1.382,2.562,1.601,-27.810,10.643,-1.132,104.564,16.760,3.221
1751058932.310,1751058932.410,-1.413,2.859,1.733,-27.715,10.400,-1.057,102.783,14.933,3.099
1751058933.031,1751058933.062,-1.486,3.216,1.801,-27.602,10.174,-1.033,103.212,13.580,3.017
1751058933.616,1751058933.711,-1.558,3.506,1.829,-27.486,9.915,-1.059,99.350,11.522,3.080
1751058934.325,1751058934.357,-1.655,3.858,1.850,-3.240,11.442,-2.910,97.977,10.897,3.017
1751058934.717,1751058934.747,-1.715,4.046,2.037,-3.332,11.417,-2.700,96.496,9.356,2.753
1751058934.810,1751058934.875,-1.741,4.089,2.216,-3.314,11.392,-2.484,96.521,8.776,2.716
1751058935.102,1751058935.135,-1.853,4.187,2.614,-3.398,11.309,-2.174,94.459,8.598,2.640
1751058935.526,1751058935.526,-2.054,4.263,2.914,-3.470,11.129,-1.923,92.109,7.433,2.614
1751058936.014,1751058936.045,-2.300,4.300,3.055,-3.407,10.903,-1.790,90.454,6.741,2.283
1751058936.502,1751058936.565,-2.549,4.313,3.114,-3.414,10.656,-1.713,89.798,6.921,1.928
1751058937.028,1751058937.094,-2.814,4.316,3.139,-2.935,10.417,-1.691,85.186,6.645,1.834
1751058937.616,1751058937.616,-3.113,4.315,-3.133,-2.970,10.175,-1.682,81.654,5.705,1.715
1751058938.103,1751058938.134,-3.362,4.313,-3.131,-3.022,9.906,-1.666,77.662,5.538,1.651
1751058938.622,1751058938.653,-3.627,4.310,-3.129,-3.013,9.669,-1.659,76.676,5.608,1.581
1751058939.110,1751058939.174,-3.876,4.307,-3.128,-3.483,9.392,-1.655,73.726,5.730,1.486
1751058939.630,1751058939.691,-4.142,4.303,-3.129,-3.439,9.130,-1.631,70.829,5.788,1.358
1751058940.214,1751058940.214,-4.440,4.299,-3.128,-3.432,8.869,-1.625,67.911,6.053,1.382
1751058940.699,1751058940.735,-4.689,4.296,-3.129,-3.453,8.618,-1.614,67.473,6.737,1.285
1751058941.223,1751058941.254,-4.955,4.292,-3.128,-3.501,8.369,-1.618,64.548,7.693,1.276
1751058941.716,1751058941.773,-5.204,4.289,-3.129,-3.526,8.100,-1.609,60.598,8.262,1.197
1751058942.202,1751058942.298,-5.452,4.285,-3.125,-3.575,7.838,-1.593,60.828,9.528,1.113
1751058942.818,1751058942.818,-5.768,4.281,-3.127,-3.557,7.587,-1.594,59.369,10.148,1.024
1751058943.306,1751058943.338,-6.012,4.283,3.137,-3.571,7.335,-1.597,59.100,10.879,1.003
1751058943.826,1751058943.860,-6.277,4.282,-3.135,-3.583,7.071,-1.589,57.710,12.011,1.022
1751058944.313,1751058944.377,-6.526,4.280,-3.131,-3.618,6.837,-1.587,56.897,12.827,0.983
1751058944.802,1751058944.896,-6.775,4.277,-3.129,-3.634,6.586,-1.576,53.028,12.614,0.819
1751058945.420,1751058945.419,-7.090,4.273,-3.129,-3.689,6.326,-1.572,49.525,12.840,0.764
1751058945.908,1751058945.937,-7.339,4.270,-3.128,-3.738,6.064,-1.562,49.115,13.357,0.692
1751058946.426,1751058946.461,-7.604,4.266,-3.128,-3.781,5.813,-1.557,46.337,14.163,0.671
1751058946.913,1751058946.984,-7.854,4.263,-3.128,-3.830,5.537,-1.556,45.231,13.779,0.601
1751058947.433,1751058947.497,-8.119,4.259,-3.128,-3.886,5.266,-1.577,45.540,13.968,0.565
1751058948.018,1751058948.017,-8.418,4.255,-3.128,-3.884,5.005,-1.564,47.158,14.732,0.517
1751058948.506,1751058948.539,-8.667,4.252,-3.128,-3.887,4.748,-1.542,47.189,14.988,0.495
1751058949.027,1751058949.058,-8.932,4.248,-3.128,-3.940,4.506,-1.545,55.745,19.255,0.604
1751058949.515,1751058949.581,-9.181,4.245,-3.128,-3.957,4.229,-1.543,58.848,20.485,0.613
1751058950.004,1751058950.103,-9.430,4.241,-3.128,-3.960,3.969,-1.541,66.021,23.395,0.669
1751058950.622,1751058950.621,-9.745,4.237,-3.128,-3.938,3.704,-1.516,72.627,27.693,0.763
1751058951.106,1751058951.139,-9.994,4.233,-3.128,-3.893,3.464,-1.512,80.070,30.974,0.801
1751058951.629,1751058951.663,-10.260,4.230,-3.128,-3.823,3.269,-1.502,92.791,37.755,1.006
1751058952.122,1751058952.183,-10.508,4.226,-3.128,-3.785,3.051,-1.504,101.369,44.038,1.245
1751058952.610,1751058952.704,-10.757,4.223,-3.128,-3.484,2.851,-1.416,106.773,49.161,1.572
1751058953.228,1751058953.228,-11.073,4.219,-3.128,-3.332,2.702,-1.377,106.308,55.664,2.039
1751058953.716,1751058953.745,-11.322,4.215,-3.128,-3.090,2.571,-1.332,103.435,61.277,2.571
1751058954.230,1751058954.262,-11.587,4.212,-3.128,-2.887,2.431,-1.304,93.735,67.604,3.506
1751058954.721,1751058954.787,-11.835,4.207,-3.125,-21.161,20.275,1.461,79.232,73.493,6.017
1751058955.206,1751058955.306,-12.084,4.204,-3.127,-21.144,20.524,1.489,66.115,78.749,5.229
1751058955.827,1751058955.826,-12.399,4.199,-3.127,-21.148,20.765,1.515,53.418,83.783,4.187
1751058956.310,1751058956.345,-12.648,4.196,-3.128,-21.144,21.001,1.527,45.635,87.532,3.591
1751058956.832,1751058956.862,-12.914,4.192,-3.128,-21.153,21.229,1.560,39.503,91.781,3.181
1751058957.319,1751058957.381,-13.163,4.189,-3.128,-21.165,21.439,1.572,40.202,95.399,3.222
1751058957.808,1751058957.904,-13.412,4.185,-3.128,-21.175,21.638,1.574,38.863,99.099,3.577
1751058958.423,1751058958.422,-13.727,4.181,-3.128,-21.197,21.844,1.606,41.693,102.291,3.825
1751058958.909,1751058958.942,-13.976,4.178,-3.128,-21.238,22.042,1.639,43.908,103.694,4.445
1751058959.430,1751058959.464,-14.241,4.174,-3.128,-21.286,22.233,1.665,48.333,100.556,4.612
1751058959.918,1751058959.982,-14.490,4.171,-3.128,-21.334,22.404,1.681,52.057,93.322,4.595
1751058960.413,1751058960.510,-14.739,4.167,-3.128,-21.407,22.593,1.701,56.919,78.935,4.159
1751058961.032,1751058961.032,-15.055,4.163,-3.128,-13.952,7.385,0.028,51.758,58.447,4.209
1751058961.511,1751058961.541,-15.304,4.160,-3.128,-13.701,7.394,0.037,42.903,40.320,4.678
1751058962.033,1751058962.065,-15.569,4.156,-3.128,-13.453,7.390,0.040,34.634,26.964,5.623
1751058962.522,1751058962.588,-15.818,4.153,-3.128,-13.195,7.386,0.029,25.188,16.890,6.264
1751058963.004,1751058963.102,-16.067,4.149,-3.128,-12.957,7.373,0.029,24.232,10.857,7.982
1751058963.622,1751058963.622,-16.382,4.145,-3.128,-12.689,7.374,0.030,18.733,8.383,8.618
1751058964.114,1751058964.149,-16.630,4.141,-3.124,-12.433,7.401,0.033,16.447,6.087,8.457
1751058964.628,1751058964.662,-16.894,4.139,-3.135,-12.210,7.406,0.031,13.354,4.940,8.990
1751058965.120,1751058965.181,-17.142,4.137,-3.131,-11.991,7.370,0.015,10.897,4.275,8.141
1751058965.607,1751058965.707,-17.391,4.134,-3.129,-13.693,4.198,3.099,8.275,3.543,6.931
1751058966.226,1751058966.226,-17.707,4.130,-3.128,-13.959,4.238,3.079,6.732,3.091,4.714
1751058966.710,1751058966.741,-17.955,4.126,-3.128,-14.203,4.265,3.083,5.738,2.715,3.849
1751058967.201,1751058967.267,-18.204,4.123,-3.128,-14.443,4.294,3.084,5.040,2.448,3.331
1751058967.722,1751058967.785,-18.470,4.119,-3.127,-14.679,4.316,3.070,5.420,2.302,3.059
1751058968.205,1751058968.308,-18.719,4.116,-3.128,-14.893,4.333,3.073,5.542,2.142,2.720
1751058968.824,1751058968.823,-19.034,4.111,-3.127,-15.142,4.323,3.090,6.536,2.184,2.561
1751058969.320,1751058969.349,-19.283,4.108,-3.128,-15.420,4.312,3.108,7.284,2.095,2.055
1751058969.809,1751058969.874,-19.532,4.104,-3.128,-15.679,4.292,3.122,8.697,2.006,1.823
1751058970.330,1751058970.396,-19.797,4.101,-3.127,-15.948,4.248,-3.133,8.953,1.878,1.439
1751058970.818,1751058970.914,-20.046,4.097,-3.128,-16.212,4.246,-3.125,9.803,1.840,1.283
1751058971.402,1751058971.434,-20.345,4.093,-3.127,-16.487,4.234,-3.116,10.284,1.846,1.123
1751058971.922,1751058971.956,-20.611,4.089,-3.128,-16.790,4.190,-3.119,10.433,1.729,0.948
1751058972.410,1751058972.473,-20.856,4.088,3.139,-17.076,4.155,-3.104,10.709,1.544,0.823
1751058972.901,1751058972.996,-21.104,4.086,-3.132,-17.341,4.153,-3.102,11.386,1.400,0.750
1751058973.520,1751058973.519,-21.420,4.083,-3.129,-17.655,4.111,-3.095,12.017,1.311,0.680
1751058974.010,1751058974.039,-21.669,4.079,-3.127,-17.920,4.094,-3.100,12.392,1.309,0.619
1751058974.522,1751058974.556,-21.934,4.075,-3.127,-18.182,4.069,-3.084,12.376,1.359,0.560
1751058975.014,1751058975.080,-22.183,4.072,-3.126,-18.454,4.065,-3.096,11.956,1.153,0.482
1751058975.533,1751058975.597,-22.449,4.068,-3.127,-18.719,4.056,-3.093,12.641,0.965,0.462
1751058976.122,1751058976.122,-22.744,4.066,-3.140,-18.949,4.039,-3.075,14.279,0.877,0.478
1751058976.606,1751058976.641,-22.993,4.065,-3.132,-19.129,4.014,-3.063,15.866,0.872,0.491
1751058977.132,1751058977.162,-23.259,4.061,-3.128,-19.318,3.987,-3.051,15.429,0.669,0.434
1751058977.616,1751058977.681,-23.507,4.058,-3.126,-19.500,3.964,-3.056,17.323,0.663,0.454
1751058978.102,1751058978.200,-23.757,4.052,-3.122,-19.718,3.955,-3.066,19.288,0.686,0.473
1751058978.722,1751058978.721,-24.068,4.051,-3.133,-19.920,3.947,-3.061,20.444,0.692,0.472
1751058979.209,1751058979.242,-24.317,4.048,-3.128,-20.128,3.931,-3.063,20.608,0.705,0.448
1751058979.725,1751058979.760,-24.583,4.043,-3.121,-20.315,3.927,-3.082,27.887,0.720,0.591
1751058980.214,1751058980.278,-24.828,4.041,-3.140,-20.543,3.916,-3.078,33.637,0.752,0.697
1751058980.728,1751058980.792,-25.093,4.039,-3.129,-20.700,3.900,-3.066,40.282,0.845,0.832
1751058981.216,1751058981.315,-25.339,4.038,-3.135,-20.845,3.903,-3.076,48.343,0.844,1.032
1751058981.929,1751058981.962,-25.701,4.037,-3.130,-21.074,3.904,-3.057,58.742,0.884,1.321
1751058982.517,1751058982.614,-26.000,4.031,-3.118,-21.277,3.856,-3.012,71.138,1.010,1.782
1751058983.225,1751058983.259,-26.365,4.021,-3.111,-21.494,3.829,-3.013,84.315,1.110,2.532
1751058983.814,1751058983.914,-26.663,4.012,-3.109,-21.733,3.806,-3.018,96.444,1.079,4.227
