timestamp_real, timestamp_est, real_x, real_y, real_theta, est_x, est_y, est_theta, cov_x, cov_y, cov_theta
1753313039.970,1753313040.056,-2.002,0.999,1.569,-0.000,0.000,-0.000,0.200,0.200,0.100
1753313040.263,1753313040.354,-2.002,0.999,1.562,-0.000,-0.000,-0.022,0.200,0.200,0.100
1753313040.592,1753313040.653,-2.002,0.999,1.488,-0.000,-0.000,-0.088,0.200,0.200,0.100
1753313040.881,1753313040.956,-2.002,0.999,1.421,-0.000,-0.000,-0.161,0.200,0.200,0.100
1753313041.170,1753313041.253,-2.002,0.999,1.355,0.000,-0.000,-0.227,0.200,0.200,0.100
1753313041.464,1753313041.553,-2.002,0.999,1.289,0.000,-0.000,-0.293,0.200,0.200,0.100
1753313041.791,1753313041.865,-2.002,0.999,1.215,0.000,-0.000,-0.359,0.200,0.200,0.100
1753313042.083,1753313042.167,-1.986,1.038,1.188,0.051,-0.020,-0.373,0.200,0.200,0.100
1753313042.375,1753313042.454,-1.962,1.097,1.188,0.109,-0.043,-0.373,0.200,0.200,0.100
1753313042.668,1753313042.753,-1.938,1.157,1.188,0.167,-0.065,-0.373,0.200,0.200,0.100
1753313042.962,1753313043.054,-1.914,1.217,1.188,0.224,-0.088,-0.373,0.200,0.200,0.100
1753313043.283,1753313043.353,-1.887,1.283,1.188,0.288,-0.113,-0.373,0.200,0.200,0.100
1753313043.576,1753313043.662,-1.863,1.343,1.188,0.346,-0.136,-0.373,0.200,0.200,0.100
1753313043.866,1753313043.953,-1.839,1.402,1.188,0.404,-0.158,-0.373,0.200,0.200,0.100
1753313044.161,1753313044.253,-1.815,1.461,1.188,0.462,-0.181,-0.373,0.200,0.200,0.100
1753313044.487,1753313044.566,-1.789,1.528,1.188,0.526,-0.206,-0.373,0.200,0.200,0.100
1753313044.775,1753313044.853,-1.765,1.588,1.188,0.583,-0.228,-0.373,0.200,0.200,0.100
1753313045.070,1753313045.153,-1.741,1.647,1.188,0.641,-0.251,-0.373,0.200,0.200,0.100
1753313045.362,1753313045.453,-1.717,1.707,1.188,0.699,-0.274,-0.373,0.200,0.200,0.100
