timestamp_real, timestamp_est, real_x, real_y, real_theta, est_x, est_y, est_theta, cov_x, cov_y, cov_theta
1750357462.585,1750357462.656,-1.714,3.077,-0.000,-12.669,7.661,2.892,101.099,23.531,2.104
1750357463.087,1750357463.193,-1.714,3.077,-0.000,-10.280,7.621,1.922,66.777,23.260,1.966
1750357463.900,1750357463.925,-1.714,3.077,-0.000,-10.111,7.998,-2.258,66.981,24.748,2.348
1750357464.091,1750357464.206,-1.714,3.077,-0.000,-10.392,8.254,0.774,57.821,29.233,2.367
1750357464.676,1750357464.778,-1.714,3.077,-0.000,-11.087,7.191,0.542,69.442,32.490,2.447
1750357465.192,1750357465.248,-1.714,3.077,-0.000,-10.066,7.737,-1.083,59.640,26.925,2.344
1750357465.584,1750357465.704,-1.714,3.077,-0.000,-10.066,7.737,-1.083,59.640,26.925,2.344
1750357466.104,1750357466.176,-1.714,3.077,-0.000,-10.066,7.737,-1.083,59.640,26.925,2.344
1750357466.692,1750357466.735,-1.714,3.077,-0.000,-10.066,7.737,-1.083,59.640,26.925,2.344
1750357467.079,1750357467.187,-1.714,3.077,-0.000,-10.066,7.737,-1.083,59.640,26.925,2.344
1750357467.702,1750357467.740,-1.714,3.077,-0.000,-10.066,7.737,-1.083,59.640,26.925,2.344
1750357468.080,1750357468.172,-1.714,3.077,-0.000,-10.066,7.737,-1.083,59.640,26.925,2.344
1750357468.685,1750357468.711,-1.714,3.077,-0.000,-10.066,7.737,-1.083,59.640,26.925,2.344
1750357469.099,1750357469.152,-1.714,3.077,-0.000,-10.066,7.737,-1.083,59.640,26.925,2.344
1750357469.586,1750357469.706,-1.714,3.077,-0.000,-10.066,7.737,-1.083,59.640,26.925,2.344
1750357470.107,1750357470.150,-1.714,3.077,-0.000,-10.066,7.737,-1.083,59.640,26.925,2.344
1750357470.595,1750357470.700,-1.714,3.077,-0.000,-10.066,7.737,-1.083,59.640,26.925,2.344
1750357471.079,1750357471.150,-1.714,3.077,-0.000,-10.066,7.737,-1.083,59.640,26.925,2.344
1750357471.600,1750357471.708,-1.714,3.077,-0.000,-10.066,7.737,-1.083,59.640,26.925,2.344
1750357472.084,1750357472.156,-1.714,3.077,-0.000,-10.066,7.737,-1.083,59.640,26.925,2.344
1750357472.678,1750357472.723,-1.714,3.077,-0.000,-10.066,7.737,-1.083,59.640,26.925,2.344
1750357473.091,1750357473.196,-1.714,3.077,-0.000,-10.066,7.737,-1.083,59.640,26.925,2.344
1750357473.678,1750357473.765,-1.714,3.077,-0.000,-10.066,7.737,-1.083,59.640,26.925,2.344
1750357474.199,1750357474.217,-1.714,3.077,-0.000,-10.066,7.737,-1.083,59.640,26.925,2.344
